"year","species_name","latin_name","high_cpue","low_cpue","cpue"
"2004","Whelk","Buccinum undatum","0.613","0.563","0.588"
"2005","Whelk","Buccinum undatum","0.818","0.752","0.785"
"2006","Whelk","Buccinum undatum","0.665","0.611","0.637"
"2007","Whelk","Buccinum undatum","0.626","0.573","0.599"
"2008","Whelk","Buccinum undatum","0.488","0.447","0.467"
"2009","Whelk","Buccinum undatum","0.61","0.541","0.574"
"2010","Whelk","Buccinum undatum","0.696","0.612","0.652"
"2011","Whelk","Buccinum undatum","0.547","0.501","0.524"
"2012","Whelk","Buccinum undatum","0.4","0.365","0.382"
"2013","Whelk","Buccinum undatum","0.334","0.296","0.314"
"2014","Whelk","Buccinum undatum","0.528","0.471","0.499"
"2015","Whelk","Buccinum undatum","0.382","0.348","0.365"
"2016","Whelk","Buccinum undatum","0.417","0.381","0.399"
"2017","Whelk","Buccinum undatum","0.421","0.389","0.404"
"2018","Whelk","Buccinum undatum","0.557","0.514","0.535"
"2019","Whelk","Buccinum undatum","0.557","0.486","0.52"
"2020","Whelk","Buccinum undatum","0.678","0.606","0.641"
"2021","Whelk","Buccinum undatum","0.799","0.726","0.762"
"2022","Whelk","Buccinum undatum","0.561","0.515","0.537"