"year","species_name","latin_name","country","area","gear","landings","landings_type"
"1985","Whelk","Buccinum undatum","Iceland","5.a","Other","3",""
"1986","Whelk","Buccinum undatum","Iceland","5.a","Other","12",""
"1991","Whelk","Buccinum undatum","Iceland","5.a","Other","0",""
"1996","Whelk","Buccinum undatum","Iceland","5.a","Other","524",""
"1997","Whelk","Buccinum undatum","Iceland","5.a","GIL","1",""
"1997","Whelk","Buccinum undatum","Iceland","5.a","Other","1283",""
"1998","Whelk","Buccinum undatum","Iceland","5.a","Other","10",""
"1999","Whelk","Buccinum undatum","Iceland","5.a","Other","417",""
"2000","Whelk","Buccinum undatum","Iceland","5.a","Other","824",""
"2001","Whelk","Buccinum undatum","Iceland","5.a","Other","709",""
"2002","Whelk","Buccinum undatum","Iceland","5.a","Other","0",""
"2003","Whelk","Buccinum undatum","Iceland","5.a","Other","248",""
"2004","Whelk","Buccinum undatum","Iceland","5.a","Other","863",""
"2005","Whelk","Buccinum undatum","Iceland","5.a","Other","991",""
"2006","Whelk","Buccinum undatum","Iceland","5.a","Other","839",""
"2007","Whelk","Buccinum undatum","Iceland","5.a","Other","554",""
"2008","Whelk","Buccinum undatum","Iceland","5.a","Other","398",""
"2009","Whelk","Buccinum undatum","Iceland","5.a","Other","116",""
"2010","Whelk","Buccinum undatum","Iceland","5.a","Other","142",""
"2011","Whelk","Buccinum undatum","Iceland","5.a","Other","512",""
"2012","Whelk","Buccinum undatum","Iceland","5.a","Other","375",""
"2013","Whelk","Buccinum undatum","Iceland","5.a","Other","89",""
"2014","Whelk","Buccinum undatum","Iceland","5.a","Other","93",""
"2015","Whelk","Buccinum undatum","Iceland","5.a","Other","184",""
"2016","Whelk","Buccinum undatum","Iceland","5.a","Other","329",""
"2017","Whelk","Buccinum undatum","Iceland","5.a","Other","160",""
"2018","Whelk","Buccinum undatum","Iceland","5.a","Other","195",""
"2019","Whelk","Buccinum undatum","Iceland","5.a","Other","351",""
"2021","Whelk","Buccinum undatum","Iceland","5.a","Other","172",""
"2022","Whelk","Buccinum undatum","Iceland","5.a","Other","291",""